name,m_0,m_1,m_2,m_3,m_4,m_5,m_6,m_7,m_8,m_9,m_10,m_11,m_12,m_13,m_14,m_15,m_16,m_17,m_18,m_19,m_20,m_21,m_22,m_23,m_24,m_25,m_26,m_27,m_28,m_29,m_30,m_31,m_32,m_33,m_34,m_35,m_36,m_37,m_38,m_39,m_40,m_41,m_42,m_43,m_44,m_45,m_46,m_47,m_48,m_49,m_50,m_51,m_52,m_53,m_54,m_55,m_56,m_57,m_58,m_59,m_60,m_61,m_62,m_63,m_64,m_65,m_66,m_67,m_68,m_69,m_70,m_71,m_72,m_73,m_74,m_75,m_76,m_77,m_78,m_79
NVIDIA GeForce GTX 1060,8.18,7.15,7.17,7.02,6.6,6.94,7.62,5.77,5.28,5.28,7.85,4.99,4.58,4.6,4.31,4.69,4.32,3.87,3.68,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NVIDIA GeForce GTX 1650,6.08,6.48,6.45,6.51,6.24,6.32,5.61,6.27,6.27,6.12,4.04,6.19,5.67,5.3,5.11,4.78,4.76,4.69,4.67,4.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NVIDIA GeForce GTX 1050 Ti,5.53,5.63,5.62,5.36,4.99,4.91,4.39,4.6,4.35,4.09,3.15,4.05,3.61,3.5,3.26,3.12,2.99,2.84,2.8,2.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NVIDIA GeForce RTX 2060,5.62,5.09,5.08,5.03,5.02,5.19,6.1,4.64,4.37,4.63,8.05,4.45,4.15,4.1,3.94,4.69,3.71,3.7,3.5,4.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NVIDIA GeForce RTX 3060 Laptop GPU,2.22,2.66,2.68,2.99,3.39,4.0,3.39,4.63,4.47,4.78,3.1,4.51,4.28,3.76,4.29,3.83,3.94,3.48,3.86,3.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NVIDIA GeForce GTX 1050,2.87,2.99,2.85,2.81,2.57,2.45,2.18,2.4,2.27,2.08,1.38,2.04,1.78,1.75,1.63,1.52,1.43,1.41,1.38,1.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NVIDIA GeForce GTX 1660 Ti,2.71,2.8,2.81,2.66,2.55,2.57,2.28,2.46,2.37,2.33,1.79,2.25,2.09,2.02,2.13,1.86,1.81,1.77,1.77,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NVIDIA GeForce RTX 3060,2.48,2.18,2.36,2.62,3.24,3.52,5.47,3.41,3.67,4.36,10.67,4.66,4.74,4.88,4.87,6.27,5.04,5.29,4.98,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NVIDIA GeForce GTX 1660 SUPER,2.45,2.37,2.48,2.42,2.46,2.52,2.34,2.41,2.5,2.52,2.36,2.69,2.62,2.56,2.57,2.54,2.47,2.38,2.3,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NVIDIA GeForce GTX 1070,2.35,2.21,2.39,2.13,2.03,1.97,1.88,1.89,1.76,1.69,1.39,1.61,1.51,1.59,1.52,1.41,1.5,1.4,1.36,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NVIDIA GeForce RTX 3070,2.11,1.94,2.13,2.02,2.32,2.33,2.76,2.44,2.67,2.91,5.43,2.95,2.99,3.26,3.2,3.62,3.23,3.34,3.13,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NVIDIA GeForce RTX 2070 SUPER,1.98,1.84,2.0,1.75,1.78,1.68,1.73,1.58,1.53,1.55,1.74,1.45,1.39,1.43,1.41,1.4,1.35,1.36,1.31,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NVIDIA GeForce RTX 3060 Ti,1.54,1.55,1.7,1.72,2.0,2.1,2.53,2.27,2.68,2.92,5.06,3.13,3.42,3.43,3.53,4.04,3.54,3.51,3.44,3.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NVIDIA GeForce GTX 1660,2.06,1.81,1.78,1.84,1.74,1.95,2.74,1.51,1.36,1.44,2.55,1.41,3.3,1.26,1.18,1.45,1.07,1.08,1.0,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NVIDIA GeForce RTX 3080,1.27,1.27,1.51,1.44,1.7,1.69,1.82,1.84,1.89,1.97,2.62,1.94,2.02,2.22,2.25,2.16,2.21,2.24,2.17,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMD Radeon RX 580,1.41,1.39,1.49,1.33,1.28,1.19,1.08,1.2,1.17,1.1,0.75,1.11,1.04,1.07,1.03,0.95,1.01,0.97,0.96,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NVIDIA GeForce GTX 1080,1.46,1.34,1.46,1.29,1.28,1.19,1.18,1.14,1.06,1.04,0.98,0.98,0.94,1.0,0.97,0.91,0.92,0.9,0.88,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NVIDIA GeForce RTX 2070,1.55,1.35,1.39,1.32,1.3,1.27,1.5,1.14,1.09,1.15,2.1,1.08,1.0,1.07,1.04,1.18,0.98,1.01,0.93,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NVIDIA GeForce RTX 3050,0.89,1.13,1.16,1.34,1.62,1.94,1.83,2.26,2.42,2.61,1.97,2.71,2.66,2.46,2.63,2.59,2.75,2.62,2.79,2.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMD Radeon Graphics,1.65,1.51,1.43,1.6,1.68,1.74,1.63,1.93,2.05,1.98,1.23,1.99,2.01,2.08,2.03,1.88,2.07,2.17,2.19,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NVIDIA GeForce GTX 1650 Ti,1.32,1.44,1.4,1.36,1.26,1.26,1.09,1.28,1.2,1.16,0.73,1.13,1.0,0.91,0.9,0.82,0.82,0.78,0.79,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMD Radeon RX 570,1.11,1.14,1.18,1.07,1.04,0.95,0.88,0.95,0.91,0.87,0.6,0.88,0.8,0.8,0.75,0.7,0.73,0.69,0.69,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NVIDIA GeForce RTX 2060 SUPER,1.25,1.15,1.19,1.1,1.11,1.13,1.23,1.12,1.15,1.2,1.96,1.26,1.26,1.28,1.26,1.47,1.24,1.24,1.21,1.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NVIDIA GeForce GTX 970,1.04,1.01,1.06,0.95,0.9,0.82,0.75,0.8,0.73,0.68,0.46,0.65,0.6,0.64,0.59,0.52,0.54,0.53,0.51,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NVIDIA GeForce RTX 3070 Ti,0.64,0.75,0.89,0.91,1.08,1.1,1.28,1.16,1.25,1.35,2.03,1.37,1.42,1.46,1.5,1.53,1.5,1.5,1.47,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NVIDIA GeForce GTX 1650 SUPER,0.94,0.97,1.0,0.94,0.91,0.94,0.79,0.83,0.82,0.77,0.53,0.78,0.71,0.67,0.63,0.59,0.58,0.57,0.55,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NVIDIA GeForce GTX 960,1.08,1.01,0.98,0.96,0.88,0.85,0.89,0.79,0.7,0.66,0.65,0.64,0.59,0.56,0.54,0.54,0.49,0.46,0.45,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NVIDIA GeForce GTX 1080 Ti,0.86,0.82,0.9,0.78,0.75,0.73,0.69,0.72,0.69,0.64,0.46,0.62,0.6,0.66,0.64,0.58,0.64,0.61,0.61,0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NVIDIA GeForce GTX 750 Ti,0.95,0.96,0.89,0.92,0.82,0.81,0.76,0.77,0.72,0.64,0.46,0.63,0.58,0.56,0.51,0.5,0.44,0.42,0.42,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMD Radeon Vega 8 Graphics,1.02,1.07,1.01,1.03,1.01,0.92,0.86,0.94,0.92,0.84,0.51,0.83,0.74,0.76,0.69,0.6,0.6,0.6,0.57,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intel(R) UHD Graphics,1.19,1.22,1.13,1.31,1.38,1.32,1.31,1.45,1.55,1.52,0.86,1.5,1.49,1.53,1.44,1.33,1.45,1.52,1.5,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NVIDIA GeForce GT 1030,0.83,0.89,0.87,0.84,0.83,0.76,0.67,0.76,0.75,0.7,0.45,0.69,0.63,0.6,0.56,0.51,0.5,0.48,0.47,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NVIDIA GeForce RTX 3070 Laptop GPU,0.63,0.72,0.73,0.76,0.8,0.85,0.74,0.93,0.91,0.94,0.6,0.88,0.85,0.85,0.91,0.81,0.87,0.81,0.85,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMD Radeon RX 5700 XT,0.7,0.71,0.77,0.67,0.66,0.62,0.58,0.64,0.63,0.62,0.42,0.62,0.62,0.68,0.67,0.63,0.68,0.68,0.68,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NVIDIA GeForce RTX 3080 Ti,0.51,0.56,0.67,0.63,0.74,0.74,0.72,0.79,0.77,0.78,0.62,0.74,0.76,0.85,0.87,0.79,0.85,0.83,0.83,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intel(R) Iris(R) Xe Graphics,0.89,0.98,0.89,1.06,1.21,1.35,1.3,1.57,1.7,1.71,1.06,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NVIDIA GeForce RTX 3050 Ti Laptop GPU,0.54,0.65,0.67,0.73,0.88,0.97,0.91,1.15,1.2,1.28,0.81,1.28,1.2,1.1,1.15,1.07,1.11,1.06,1.1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NVIDIA GeForce GTX 1070 Ti,0.72,0.67,0.72,0.64,0.61,0.59,0.6,0.56,0.52,0.53,0.65,0.5,0.47,0.48,0.47,0.49,0.48,0.44,0.42,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NVIDIA GeForce RTX 2080 SUPER,0.77,0.7,0.75,0.66,0.66,0.63,0.7,0.62,0.55,0.59,0.8,0.55,0.52,0.56,0.55,0.54,0.52,0.53,0.51,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NVIDIA GeForce RTX 2080,0.68,0.62,0.67,0.61,0.58,0.57,0.59,0.53,0.52,0.51,0.6,0.5,0.47,0.5,0.49,0.47,0.46,0.45,0.46,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NVIDIA GeForce RTX 2080 Ti,0.56,0.53,0.59,0.52,0.52,0.47,0.45,0.47,0.43,0.44,0.31,0.41,0.41,0.45,0.46,0.4,0.43,0.42,0.41,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NVIDIA GeForce RTX 3050 Laptop GPU,0.46,0.54,0.52,0.58,0.63,0.79,0.67,0.93,0.88,0.97,0.64,0.93,0.85,0.74,0.8,0.76,0.75,0.67,0.74,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NVIDIA GeForce RTX 3090,0.45,0.46,0.52,0.46,0.5,0.49,0.48,0.53,0.55,0.51,0.43,0.51,0.52,0.6,0.61,0.54,0.6,0.59,0.61,0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMD Radeon RX 550,0.45,0.49,0.5,0.5,0.49,0.45,0.42,0.46,0.45,0.43,0.27,0.44,0.4,0.38,0.36,0.33,0.34,0.33,0.33,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NVIDIA GeForce GT 730,0.5,0.54,0.5,0.54,0.5,0.48,0.42,0.48,0.49,0.42,0.27,0.43,0.41,0.4,0.37,0.35,0.32,0.31,0.3,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intel UHD Graphics 620,0.69,0.69,0.61,0.69,0.64,0.58,0.54,0.59,0.6,0.56,0.3,0.53,0.52,0.56,0.52,0.46,0.48,0.51,0.51,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMD Radeon Vega 3 Graphics,0.47,0.5,0.47,0.52,0.54,0.48,0.47,0.52,0.5,0.46,0.28,0.46,0.42,0.44,0.39,0.34,0.34,0.34,0.32,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMD Radeon RX Vega 11 Graphics,0.36,0.38,0.38,0.37,0.34,0.3,0.28,0.29,0.28,0.25,0.16,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMD Radeon RX 6600 XT,0,0.3,0.33,0.33,0.36,0.37,0.33,0.37,0.37,0.38,0.33,0.4,0.39,0.41,0.42,0.38,0.41,0.39,0.39,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NVIDIA GeForce GTX 960M,0.42,0.43,0.39,0.39,0.34,0.33,0.29,0.33,0.32,0.28,0.18,0.27,0.23,0.24,0.23,0.2,0.2,0.21,0.2,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NVIDIA GeForce 940M,0.39,0.42,0.37,0.37,0.34,0.31,0.29,0.32,0.32,0.29,0.17,0.28,0.24,0.25,0.23,0.2,0.2,0.19,0.19,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NVIDIA GeForce RTX 3050 Ti,0.25,0.31,0.29,0.31,0.32,0.37,0.3,0.41,0.37,0.38,0.25,0.35,0.32,0.27,0.31,0.28,0.28,0.24,0.27,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMD Radeon RX 6700 XT,0.23,0.25,0.28,0.27,0.31,0.32,0.32,0.38,0.47,0.47,0.35,0.53,0.57,0.63,0.68,0.64,0.74,0.75,0.76,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NVIDIA GeForce GT 710,0.36,0.37,0.35,0.37,0.34,0.31,0.28,0.3,0.31,0.27,0.17,0.27,0,0,0,0,0.2,0.19,0.19,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMD Radeon RX 560,0.3,0.3,0.31,0.29,0.27,0.26,0.23,0.24,0.23,0.21,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NVIDIA GeForce GTX 950,0.35,0.34,0.32,0.31,0.28,0.28,0.29,0.25,0.23,0.22,0.2,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intel HD Graphics 4000,0.39,0.39,0.36,0.4,0.39,0.33,0.31,0.34,0.35,0.31,0.18,0.3,0.28,0.33,0.28,0.24,0.23,0.24,0.23,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
